rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_category,next_rental
558759,368753,connect,ended,-126.0,,,Early,False
558974,321069,mobile,ended,-5.0,,,Early,False
559078,340616,connect,ended,27.0,,,Late: 15-30 mins,False
559318,344677,mobile,ended,2.0,,,Late: 0-15 mins,False
559331,369354,mobile,ended,89.0,,,Late: 1-2 hours,False
559428,289720,connect,ended,-16.0,520878.0,90.0,Early,True
559435,281955,mobile,ended,18.0,553797.0,60.0,Late: 15-30 mins,True
559781,408776,mobile,ended,44.0,540868.0,0.0,Late: 30-60 mins,True
559817,394117,mobile,ended,21.0,,,Late: 15-30 mins,False
559924,376064,mobile,ended,-3.0,,,Early,False
560005,301068,mobile,ended,-78.0,,,Early,False
560079,288452,mobile,ended,52.0,,,Late: 30-60 mins,False
560720,404020,mobile,ended,-14.0,,,Early,False
560884,410068,mobile,ended,-41.0,,,Early,False
560886,375755,mobile,ended,84.0,,,Late: 1-2 hours,False
561054,387845,mobile,ended,-18.0,,,Early,False
561083,334859,mobile,ended,65.0,,,Late: 1-2 hours,False
561111,337217,mobile,ended,10.0,,,Late: 0-15 mins,False
561157,373726,mobile,ended,-14.0,,,Early,False
561269,389467,mobile,ended,-21.0,,,Early,False
561285,392479,mobile,ended,-40.0,,,Early,False
561366,305917,mobile,ended,-104.0,,,Early,False
561368,249274,connect,ended,-3.0,558711.0,30.0,Early,True
561383,411754,connect,ended,173.0,,,Late: > 2 hours,False
561408,310444,connect,ended,-54.0,545475.0,360.0,Early,True
561450,192179,connect,ended,7.0,541144.0,540.0,Late: 0-15 mins,True
561596,364996,mobile,ended,108.0,,,Late: 1-2 hours,False
561706,395613,mobile,ended,-38.0,,,Early,False
561726,409636,mobile,ended,-208.0,,,Early,False
562090,404542,mobile,ended,-35.0,,,Early,False
562173,394024,mobile,ended,73.0,,,Late: 1-2 hours,False
562174,381499,connect,ended,73.0,,,Late: 1-2 hours,False
562264,408060,mobile,ended,129.0,,,Late: > 2 hours,False
562291,404133,connect,ended,-709.0,,,Early,False
562409,410088,mobile,ended,-30.0,,,Early,False
562501,242546,mobile,ended,15.0,,,Late: 15-30 mins,False
562669,393442,mobile,ended,30.0,,,Late: 30-60 mins,False
562807,310571,mobile,ended,-14.0,,,Early,False
